size smiles gsk3b jnk3 qed sa qed sa max_or_val
26 O=C(O)c1ccc(Nc2nc(Nc3ccc(F)c(F)c3)ncc2Cl)cc1 0.87 0.65 0.6032164470265156 0.8767926723450399 0.6032164470265156 0.8767926723450399 1
19 Clc1cnc(Nc2ccccc2)nc1NC1CCC1 0.74 0.53 0.8893805865821903 0.8882228757389231 0.8893805865821903 0.8882228757389231 1
20 Clc1cnc(Nc2ccccc2)nc1Nc1cc[nH]n1 0.8 0.59 0.6854068727384591 0.8201142959488291 0.6854068727384591 0.8201142959488291 1
21 Fc1ccc(-c2ccnc(Nc3ccccc3Cl)n2)cn1 0.77 0.55 0.7406740676438314 0.8744229520803264 0.7406740676438314 0.8744229520803264 1
21 Clc1cnc(NC2CCOCC2)nc1Nc1ccccc1 0.72 0.53 0.9055667714296708 0.8687373644791386 0.9055667714296708 0.8687373644791386 1
16 c1ccc(-c2ccnc(NC3CC3)n2)cc1 0.67 0.61 0.8478160750550866 0.9128881399458391 0.8478160750550866 0.9128881399458391 1
20 Fc1ccc(Nc2ncc(Cl)c(NC3CC3)n2)cc1F 0.74 0.58 0.902493748712856 0.8666255038087657 0.902493748712856 0.8666255038087657 1
19 Clc1cnc(NC2CC2)nc1Nc1ccc(Br)cc1 0.75 0.55 0.8758226151925481 0.8759709151069625 0.8758226151925481 0.8759709151069625 1
17 CNc1nc(Nc2ccc(F)cc2)ncc1Cl 0.74 0.63 0.8815701804728142 0.884366213128827 0.8815701804728142 0.884366213128827 1
18 Clc1cnc(Nc2ccccc2)nc1NC1CC1 0.84 0.54 0.8840999065348907 0.8902819151922198 0.8840999065348907 0.8902819151922198 1
20 Clc1cnc(Nc2ccccc2)nc1NC1CCOC1 0.75 0.5 0.9060740962492355 0.8156186773199506 0.9060740962492355 0.8156186773199506 1
19 NCCNc1nc(Nc2ccc(F)cc2)ncc1Cl 0.72 0.63 0.7844265138604505 0.8713045333405807 0.7844265138604505 0.8713045333405807 1
20 Fc1ccc(Nc2ncc(Cl)c(NC3COC3)n2)cc1 0.7 0.53 0.9078751466829567 0.855298334925018 0.9078751466829567 0.855298334925018 1
17 CNc1nc(Nc2ccc(Cl)cc2)ncc1Cl 0.72 0.61 0.8938559144732062 0.8851937772313911 0.8938559144732062 0.8851937772313911 1
19 Fc1ccccc1Nc1nc(NC2CC2)ncc1Cl 0.69 0.69 0.8973091227531842 0.8767261857622332 0.8973091227531842 0.8767261857622332 1
17 CNc1nc(Nc2ccccc2Cl)ncc1Cl 0.62 0.64 0.8938559144732062 0.8775389695390834 0.8938559144732062 0.8775389695390834 1
18 CNc1nc(Nc2ccc(F)c(F)c2)ncc1Cl 0.7 0.56 0.8992429819355652 0.8670174654880779 0.8992429819355652 0.8670174654880779 1
18 Clc1cnc(NC2CC2)nc1Nc1ccccc1 0.79 0.52 0.8840999065348907 0.8904899033579005 0.8840999065348907 0.8904899033579005 1
15 CNc1ccnc(Nc2ccccc2)n1 0.72 0.55 0.7975156925989036 0.9025104226970007 0.7975156925989036 0.9025104226970007 1
20 Fc1ccc(Nc2ccnc(NC3CCC3)n2)cc1F 0.5 0.55 0.8974908447973601 0.8707822755458007 0.8974908447973601 0.8707822755458007 1
21 Fc1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1 0.74 0.59 0.7549981290947186 0.9104214835858385 0.7549981290947186 0.9104214835858385 1
18 CC(C)Nc1ccnc(Nc2ccc(F)cc2)n1 0.65 0.55 0.8695186523232279 0.8857847113402649 0.8695186523232279 0.8857847113402649 1
19 Clc1cnc(Nc2ccccc2)nc1NC1CCC1 0.74 0.53 0.8893805865821903 0.8882228757389231 0.8893805865821903 0.8882228757389231 0
18 Clc1cnc(Nc2ccccc2)nc1NC1CC1 0.84 0.54 0.8840999065348907 0.8902819151922198 0.8840999065348907 0.8902819151922198 0
20 Fc1ccc(Nc2ncc(Cl)c(NC3CC3)n2)cc1F 0.74 0.58 0.902493748712856 0.8666255038087657 0.902493748712856 0.8666255038087657 0
18 CC(C)(C)Nc1ccnc(Nc2ccccc2)n1 0.77 0.52 0.8653813557370542 0.8818435348696768 0.8653813557370542 0.8818435348696768 0
19 C#CCNc1nc(Nc2ccc(Cl)cc2)ncc1Cl 0.64 0.52 0.8460608409639903 0.8469053880414354 0.8460608409639903 0.8469053880414354 0
16 Nc1nc(Nc2ccc(F)cc2)ncc1Cl 0.65 0.56 0.8442010248932457 0.8821858959014673 0.8442010248932457 0.8821858959014673 0
20 Oc1ccc(Nc2ncc(Cl)c(NC3CCC3)n2)cc1 0.68 0.51 0.7513956787215876 0.8718591986227237 0.7513956787215876 0.8718591986227237 0
18 CNc1nc(Nc2ccc(F)c(F)c2)ncc1Cl 0.7 0.56 0.8992429819355652 0.8670174654880779 0.8992429819355652 0.8670174654880779 0
19 CCNc1nc(Nc2ccc(F)c(F)c2)ncc1Cl 0.71 0.53 0.9008074942433966 0.8677733071942603 0.9008074942433966 0.8677733071942603 0
17 CNc1nc(Nc2ccc(O)cc2)ncc1Cl 0.7 0.52 0.7308248998962142 0.8737700592826732 0.7308248998962142 0.8737700592826732 0
20 CNCCNc1nc(Nc2ccccc2Cl)ncc1Cl 0.53 0.51 0.7153104725825881 0.8620878086092285 0.7153104725825881 0.8620878086092285 0
17 CNc1nc(Nc2ccccc2Cl)ncc1Cl 0.62 0.64 0.8938559144732062 0.8775389695390834 0.8938559144732062 0.8775389695390834 0
19 NCCNc1nc(Nc2ccc(F)cc2)ncc1Cl 0.72 0.63 0.7844265138604505 0.8713045333405807 0.7844265138604505 0.8713045333405807 0
20 Clc1cnc(Nc2ccccc2)nc1Nc1cc[nH]n1 0.8 0.59 0.6854068727384591 0.8201142959488291 0.6854068727384591 0.8201142959488291 0
21 Oc1ccnc(Nc2ccnc(Nc3ccccc3)n2)c1 0.72 0.5 0.6804932105599533 0.8611435679530839 0.6804932105599533 0.8611435679530839 0
21 Fc1ccc(-c2ccnc(Nc3ccccc3Cl)n2)cn1 0.77 0.55 0.7406740676438314 0.8744229520803264 0.7406740676438314 0.8744229520803264 0
17 CNc1nc(Nc2cccc(F)c2)ncc1Cl 0.74 0.54 0.8815701804728142 0.875441854154468 0.8815701804728142 0.875441854154468 0
21 Clc1cnc(NC2CCOCC2)nc1Nc1ccccc1 0.72 0.53 0.9055667714296708 0.8687373644791386 0.9055667714296708 0.8687373644791386 0
16 c1ccc(-c2ccnc(NC3CC3)n2)cc1 0.67 0.61 0.8478160750550866 0.9128881399458391 0.8478160750550866 0.9128881399458391 0
18 CNc1nc(Nc2ccccc2Cl)ncc1OC 0.58 0.53 0.8891708470029918 0.8715684217475046 0.8891708470029918 0.8715684217475046 0
20 COCCNc1nc(Nc2ccc(O)cc2)ncc1Cl 0.64 0.53 0.5613291124904403 0.8701946912003216 0.5613291124904403 0.8701946912003216 0
20 CC(C)CNc1nc(Nc2ccccc2Cl)ncc1Cl 0.6 0.51 0.8473684588547123 0.8710120422703044 0.8473684588547123 0.8710120422703044 0
19 Clc1cnc(NC2CC2)nc1Nc1ccc(Br)cc1 0.75 0.55 0.8758226151925481 0.8759709151069625 0.8758226151925481 0.8759709151069625 0
20 Clc1cnc(NC2CCCC2)nc1Nc1ccccc1 0.69 0.52 0.8838725051163435 0.8876597979045004 0.8838725051163435 0.8876597979045004 0
21 Nc1ccc(Nc2nc(NC3CCCC3)ncc2Cl)cc1 0.57 0.54 0.7488078838923595 0.8692136204283718 0.7488078838923595 0.8692136204283718 0
21 C[C@@H](CO)Nc1nc(Nc2ccc(F)c(F)c2)ncc1Cl 0.7 0.55 0.7913325455041426 0.8024973172297302 0.7913325455041426 0.8024973172297302 0
17 CNc1nc(Nc2ccc(F)cc2)ncc1Cl 0.74 0.63 0.8815701804728142 0.884366213128827 0.8815701804728142 0.884366213128827 0
