size smiles gsk3b jnk3 qed sa qed sa max_or_val 
23 O[C@H]1CC[C@@H](Nc2ncc(F)c(Nc3ccccc3F)n2)CC1 0.78 0.7 0.8068019099959494 0.8535890539741584 0.8068019099959494 0.8535890539741584 1
25 NC(=O)c1cccc(Nc2nc(Nc3ccccc3Cl)ncc2F)c1 0.7 0.67 0.644469381672002 0.876917384014561 0.644469381672002 0.876917384014561 1
23 O[C@H]1CC[C@H](Nc2ncc(F)c(Nc3cccc(I)c3)n2)CC1 0.81 0.63 0.6488007787305355 0.8351389374240418 0.6488007787305355 0.8351389374240418 1
25 NC(=O)c1ccc(NC2CCCCC2N)nc1Nc1cccc(Cl)c1 0.73 0.74 0.6552329824100205 0.7697522505690659 0.6552329824100205 0.7697522505690659 1
24 Clc1cnc(NC2CC2)nc1Nc1cccc(-c2ccccc2)c1 0.76 0.62 0.6789956829415683 0.8859018984577636 0.6789956829415683 0.8859018984577636 1
24 Clc1cnc(NC2CC2)nc1Nc1ccc(-c2ccccc2)cc1 0.74 0.65 0.6789956829415683 0.8914629973588626 0.6789956829415683 0.8914629973588626 1
25 NC(=O)c1cnc(Nc2ccccc2F)nc1Nc1cccc(F)c1 0.71 0.71 0.6617366011050438 0.8768874815226868 0.6617366011050438 0.8768874815226868 1
24 NCCNc1ncc(C(N)=O)c(Nc2cccc(C(F)(F)F)c2)n1 0.8 0.72 0.6355180522754641 0.8476335734494386 0.6355180522754641 0.8476335734494386 1
25 NC(=O)c1ccc(N[C@@H]2CCCC[C@H]2N)nc1Nc1cccc(Cl)c1 0.73 0.74 0.6552329824100205 0.7697522505690659 0.6552329824100205 0.7697522505690659 0
25 NC(=O)c1cnc(NC2CCC(O)CC2)nc1Nc1cccc(F)c1 0.72 0.61 0.6604668429525734 0.8476688466364463 0.6604668429525734 0.8476688466364463 0
25 NC(=O)c1ccc(N[C@H]2CCCC[C@H]2N)nc1Nc1cccc(Cl)c1 0.73 0.74 0.6552329824100205 0.7697522505690659 0.6552329824100205 0.7697522505690659 0
